CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
114417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114658,127633,31039,13693,5080,11346,350,34,105,100,10387,7819,4875,7338,7380,5443,7442,15202
115145,62881,30106,1844,290,1981,251,3,4,57,1852,732,361,2078,6322,1567,13331,2102
115624,170399,40843,20190,4190,18851,728,43,135,56,15271,8547,3705,11273,10340,7374,8042,20811
115789,182800,76394,23283,1008,11511,2274,45,62,71,10500,2430,1825,7549,12613,2875,22303,8057
116012,152727,40277,19323,6244,11716,558,27,58,6,12329,8312,5093,11624,6923,5617,7292,17328
116043,151671,42542,17350,4735,9563,178,8,20,7,17542,7153,4688,11557,9307,4863,8996,13162
116054,3342,1095,588,60,313,2,0,1,2,365,107,64,90,117,104,103,331
116067,10315,3687,1385,172,373,20,2,2,5,856,245,143,713,709,418,927,658
116089,32272,5506,1164,2212,1584,4,5,1,0,2034,1591,1292,4707,2489,2022,887,6774
116485,10197,1512,239,174,304,42,2,0,51,432,245,160,612,1880,349,2776,1419
116751,161464,49778,5090,4,5134,1227,2,0,185,2236,110,79,8166,32821,650,50094,5888
116759,218509,40591,26355,11162,25261,55,44,54,2,25465,8910,7144,36633,6884,9013,501,20435
116903,165961,55761,26479,5397,12371,12,21,97,2,12815,6097,5921,11847,6979,7731,5356,9075
116952,114879,44918,13618,2616,7863,866,44,90,103,4859,1486,1902,7650,9516,3358,12273,3717
117201,197903,48343,28401,8745,16936,87,41,128,5,18932,14562,6966,16328,6519,7602,3349,20959
117353,30250,6290,1107,3687,1861,593,90,65,265,719,2520,1384,3120,2490,2975,2116,968
118016,86844,16983,19032,2168,8135,33,5,7,0,14971,3978,2739,4765,3791,2221,680,7336
118073,99844,31951,9233,3815,3537,928,16,54,5,8115,4747,3086,5791,8833,3784,12394,3555
118865,22101,669,7,5,12,1106,2,0,1230,61,1,8,61,3557,14,15341,27
118916,95031,18372,4540,1320,4323,3766,62,13,873,199,8,221,15130,16854,3544,23466,2340
119097,102122,11193,14172,4601,13618,319,60,32,0,14479,2420,2687,14057,6220,4576,212,13476
119373,58746,10536,2122,172,1077,4971,10,59,575,1092,2372,1510,4146,11210,1084,15165,2645
119418,162799,59412,23360,8968,12776,32,57,95,1,8563,4739,5549,12691,7446,7306,5239,6565
119473,93089,22355,13816,1099,9397,382,72,144,150,9270,5075,2229,5834,6302,1969,5327,9668
119915,75504,22872,8918,737,6521,47,5,25,36,6954,5190,1687,2795,3074,3013,5833,7797
119948,50809,5364,619,8695,5660,333,39,54,0,350,436,3252,15382,3362,5652,51,1560
120260,9239,2002,1235,391,1051,0,0,4,0,1801,1133,191,96,83,324,103,825
120712,40631,7353,7803,286,2141,185,1,8,2,3359,936,825,4785,5176,1110,2115,4546
120717,182104,46548,16169,9157,14046,296,63,153,22,15778,13857,7112,14731,9733,7250,5416,21773
122028,66803,19708,10006,2764,5130,48,3,8,0,8291,3001,2302,4062,1618,2385,750,6727
122745,131877,27822,9772,7217,12888,924,79,168,299,8523,8011,6224,8925,8037,7217,8725,17046
123164,41276,8310,2497,1692,2366,2720,24,28,350,2284,868,756,2928,7355,1124,5779,2195
123401,16153,4689,1436,4,4789,0,0,0,0,28,0,32,852,985,1374,390,1574
123713,40623,5893,5561,1796,3788,67,11,63,13,5625,5782,1740,1001,1307,1109,1603,5264
124233,118824,23997,11329,4506,12821,297,56,95,1182,9297,8655,4725,8546,6262,4768,6087,16201
125391,22951,5542,1313,697,1060,3,3,3,2,1897,1460,875,1863,2256,1092,1657,3228
717630,38656,3324,11530,1585,829,37,30,29,16,5114,536,551,1604,3847,928,1522,7174
127294,65137,19213,8036,5170,4876,122,45,82,8,3622,3655,2897,6526,2542,3429,419,4495
127439,253806,91612,29128,6847,12240,555,51,134,65,17083,8079,7339,16343,13490,8000,24879,17961
127454,214426,60661,27702,7747,14068,762,59,151,23,16809,13222,7085,15597,10315,7096,10575,22554
128077,40220,13311,5094,2006,2924,37,8,16,27,2659,1873,905,2345,1748,1510,2194,3563
128754,89736,21681,10902,1601,9199,231,22,41,65,7636,3560,1599,7858,6297,3654,5805,9585
128832,138245,49325,17890,5901,10172,3,23,48,0,9245,5023,4683,10659,7685,5007,4450,8131
128880,53504,13528,4853,3574,5509,228,8,49,8,2952,2318,2513,3674,3712,2980,2413,5185
128956,117524,29132,10967,4278,10737,436,20,81,78,8546,7522,3839,7240,8738,4228,5849,15833
129191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129298,96073,21066,9529,8725,9211,227,55,81,3,5119,4342,4711,6577,5672,6964,3998,9793
788758,34,3,1,2,2,0,0,0,1,2,0,2,5,8,1,3,4
188731,549434,181513,61232,7749,26541,1431,26,70,13,60019,26043,14640,24673,27857,10807,49588,57232
79734,197335,55614,27834,2635,14645,23,4,13,3,22376,8028,6108,11538,10797,5298,17177,15242
79763,27578,9883,329,1,19,553,0,0,4,19,3,1,2039,7492,38,7194,3
79779,60329,21620,6446,487,2614,16,2,2,0,7759,2406,1044,1752,1928,1201,1575,11477
